"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
3504,"KEEN","medium_airport","Dillant Hopkins Airport",42.8983993530273,-72.2707977294922,488,"NA","US","US-NH","Keene","no","KEEN","EEN","EEN",,"http://en.wikipedia.org/wiki/Dillant-Hopkins_Airport",
19729,"KEET","medium_airport","Shelby County Airport",33.17699814,-86.78279877,586,"NA","US","US-AL","Alabaster","no","KEET",,"EET",,"http://en.wikipedia.org/wiki/Shelby_County_Airport_(Alabama)",
19731,"KEFD","medium_airport","Ellington Field",29.6072998046875,-95.1587982177734,32,"NA","US","US-TX","Houston","no","KEFD",,"EFD",,,
3505,"KEGE","medium_airport","Eagle County Regional Airport",39.64260101,-106.9179993,6548,"NA","US","US-CO","Eagle","yes","KEGE","EGE","EGE",,"http://en.wikipedia.org/wiki/Eagle_County_Regional_Airport",
19735,"KEGI","medium_airport","Duke Field,(Eglin Af Aux Nr 3) Airport",30.65040016,-86.52290344,191,"NA","US","US-FL","Crestview","no","KEGI",,"EGI",,,
3506,"KEKA","medium_airport","Murray Field",40.8033981323242,-124.112998962402,7,"NA","US","US-CA","Eureka","no","KEKA",,"EKA",,"http://en.wikipedia.org/wiki/Murray_Field",
3507,"KEKN","medium_airport","Elkins-Randolph Co-Jennings Randolph Field",38.88940048,-79.85710144,1987,"NA","US","US-WV","Elkins","no","KEKN",,"EKN",,,
3508,"KEKO","medium_airport","Elko Regional Airport",40.8249015808105,-115.791999816895,5140,"NA","US","US-NV","Elko","yes","KEKO","EKO","EKO",,"http://en.wikipedia.org/wiki/Elko_Regional_Airport",
3509,"KELD","medium_airport","South Arkansas Regional At Goodwin Field",33.2210006713867,-92.8133010864258,277,"NA","US","US-AR","El Dorado","yes","KELD","ELD","ELD",,"http://en.wikipedia.org/wiki/South_Arkansas_Regional_Airport_at_Goodwin_Field",
3510,"KELM","medium_airport","Elmira Corning Regional Airport",42.1599006652832,-76.8916015625,954,"NA","US","US-NY","Elmira/Corning","yes","KELM","ELM","ELM",,"http://en.wikipedia.org/wiki/Elmira-Corning_Regional_Airport",
3511,"KELO","medium_airport","Ely Municipal Airport",47.82450104,-91.83070374,1456,"NA","US","US-MN","Ely","no","KELO",,"ELO",,,
3512,"KELP","medium_airport","El Paso International Airport",31.80719948,-106.3779984,3959,"NA","US","US-TX","El Paso","yes","KELP","ELP","ELP",,"http://en.wikipedia.org/wiki/El_Paso_International_Airport",
19753,"KELY","medium_airport","Ely Airport Yelland Field",39.29970169,-114.8420029,6259,"NA","US","US-NV","Ely","no","KELY",,"ELY",,"http://en.wikipedia.org/wiki/Ely_Airport",
3513,"KEND","large_airport","Vance Air Force Base",36.3391990662,-97.9164962769,1307,"NA","US","US-OK","Enid","no","KEND","END","END","http://www.vance.af.mil/","http://en.wikipedia.org/wiki/Vance_Air_Force_Base",
19760,"KENV","medium_airport","Wendover Airport",40.7187004089355,-114.03099822998,4237,"NA","US","US-UT","Wendover","no","KENV",,"ENV",,"http://en.wikipedia.org/wiki/Wendover_Airport",
3514,"KENW","medium_airport","Kenosha Regional Airport",42.59569931,-87.92780304,742,"NA","US","US-WI","Kenosha","no","KENW",,"ENW",,"http://en.wikipedia.org/wiki/Kenosha_Regional_Airport",
3515,"KERI","large_airport","Erie International Tom Ridge Field",42.0831270134,-80.1738667488,732,"NA","US","US-PA","Erie","yes","KERI","ERI","ERI",,"http://en.wikipedia.org/wiki/Erie_International_Airport",
3516,"KESF","medium_airport","Esler Regional Airport",31.3948993682861,-92.2957992553711,112,"NA","US","US-LA","Alexandria","no","KESF",,"ESF",,,
3517,"KEUG","medium_airport","Mahlon Sweet Field",44.1245994567871,-123.21199798584,374,"NA","US","US-OR","Eugene","yes","KEUG","EUG","EUG",,"http://en.wikipedia.org/wiki/Eugene_Airport",
3518,"KEVV","medium_airport","Evansville Regional Airport",38.0369987488,-87.5324020386,418,"NA","US","US-IN","Evansville","yes","KEVV","EVV","EVV",,"http://en.wikipedia.org/wiki/Evansville_Regional_Airport",
19782,"KEVW","medium_airport","Evanston-Uinta County Airport-Burns Field",41.27479935,-111.0350037,7143,"NA","US","US-WY","Evanston","no","KEVW","EVW","EVW",,,
3519,"KEWB","medium_airport","New Bedford Regional Airport",41.6761016845703,-70.956901550293,80,"NA","US","US-MA","New Bedford","yes","KEWB","EWB","EWB",,"http://en.wikipedia.org/wiki/New_Bedford_Regional_Airport",
3520,"KEWN","medium_airport","Coastal Carolina Regional Airport",35.0730018616,-77.0429000854,18,"NA","US","US-NC","New Bern","yes","KEWN","EWN","EWN",,"http://en.wikipedia.org/wiki/Craven_County_Regional_Airport",
3521,"KEWR","large_airport","Newark Liberty International Airport",40.6925010681152,-74.168701171875,18,"NA","US","US-NJ","Newark","yes","KEWR","EWR","EWR","http://www.panynj.gov/CommutingTravel/airports/html/newarkliberty.html","http://en.wikipedia.org/wiki/Newark_Liberty_International_Airport","Manhattan, New York City, NYC"
3522,"KEYW","medium_airport","Key West International Airport",24.5561008453369,-81.7595977783203,3,"NA","US","US-FL","Key West","yes","KEYW","EYW","EYW",,"http://en.wikipedia.org/wiki/Key_West_International_Airport",
19843,"KFAF","medium_airport","Felker Army Air Field",37.1324996948,-76.6088027954,12,"NA","US","US-VA","Fort Eustis","no","KFAF","FAF","FAF",,,
3523,"KFAR","medium_airport","Hector International Airport",46.9207000732422,-96.815803527832,902,"NA","US","US-ND","Fargo","yes","KFAR","FAR","FAR","http://www.fargoairport.com/","http://en.wikipedia.org/wiki/Hector_International_Airport","119th Wing, Happy Hooligans"
3524,"KFAT","medium_airport","Fresno Yosemite International Airport",36.7761993408203,-119.718002319336,336,"NA","US","US-CA","Fresno","yes","KFAT","FAT","FAT",,"http://en.wikipedia.org/wiki/Fresno_Yosemite_International_Airport",
3525,"KFAY","medium_airport","Fayetteville Regional Grannis Field",34.9911994934082,-78.8803024291992,189,"NA","US","US-NC","Fayetteville","yes","KFAY","FAY","FAY",,"http://en.wikipedia.org/wiki/Fayetteville_Regional_Airport",
3526,"KFBG","medium_airport","Simmons Army Air Field",35.13180161,-78.93669891,244,"NA","US","US-NC","Fort Bragg","no","KFBG","FBG","FBG",,"http://en.wikipedia.org/wiki/Simmons_Army_Airfield",
19851,"KFCS","medium_airport","Butts AAF (Fort Carson) Air Field",38.67839813,-104.7570038,5838,"NA","US","US-CO","Fort Carson","no","KFCS","FCS","FCS",,,
19857,"KFDY","medium_airport","Findlay Airport",41.013500213623,-83.668701171875,813,"NA","US","US-OH","Findlay","no","KFDY",,"FDY",,,
3528,"KFFO","large_airport","Wright Patterson Air Force Base",39.826099395752,-84.0483016967773,823,"NA","US","US-OH","Dayton","no","KFFO",,"FFO",,,
3529,"KFHU","medium_airport","Sierra Vista Municipal Libby Army Air Field",31.5884990692139,-110.34400177002,4719,"NA","US","US-AZ","Fort Huachuca Sierra Vista","yes","KFHU","FHU","FHU",,"http://en.wikipedia.org/wiki/Sierra_Vista_Municipal_Airport",
19872,"KFKL","medium_airport","Venango Regional Airport",41.3778991699,-79.8603973389,1540,"NA","US","US-PA","Franklin","no","KFKL","FKL","FKL",,"http://en.wikipedia.org/wiki/Venango_Regional_Airport",
